label,type,threshold_value,elapsed_s,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,tp,fp,tn,fn,gt_voxels,pred_voxels,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm,variant,vessel_size,vessel_std,structure_strength,ridge_threshold,ridge_iterations,auto_seed_rounds,auto_seed_max
vsize_-2_std_-1_soft_0.280,pipeline_soft,0.28,0.00,24,27,11,11,0.3309,0.4355,0.1983,0.4634,0.2574,0.555,28180,32629,10838889,81310,109490,60809,26.99,21.94,10.55,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.300,pipeline_soft,0.3,0.00,24,27,11,11,0.3309,0.4355,0.1983,0.4634,0.2574,0.555,28180,32629,10838889,81310,109490,60809,26.99,21.94,10.55,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.320,pipeline_soft,0.32,0.00,24,27,11,11,0.3309,0.4355,0.1983,0.4634,0.2574,0.555,28180,32629,10838889,81310,109490,60809,26.99,21.94,10.55,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.340,pipeline_soft,0.34,0.00,13,27,11,11,0.2240,0.2867,0.1261,0.6369,0.1359,0.213,14882,8483,10863035,94608,109490,23365,26.99,8.05,4.75,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.360,pipeline_soft,0.36,0.00,13,27,11,11,0.2240,0.2867,0.1261,0.6369,0.1359,0.213,14882,8483,10863035,94608,109490,23365,26.99,8.05,4.75,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.380,pipeline_soft,0.38,0.00,13,27,11,11,0.2240,0.2867,0.1261,0.6369,0.1359,0.213,14882,8483,10863035,94608,109490,23365,26.99,8.05,4.75,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.400,pipeline_soft,0.4,0.00,13,27,11,11,0.2240,0.2867,0.1261,0.6369,0.1359,0.213,14882,8483,10863035,94608,109490,23365,26.99,8.05,4.75,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.420,pipeline_soft,0.42,0.00,13,27,11,11,0.2240,0.2867,0.1261,0.6369,0.1359,0.213,14882,8483,10863035,94608,109490,23365,26.99,8.05,4.75,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.440,pipeline_soft,0.44,0.00,13,27,11,11,0.2240,0.2867,0.1261,0.6369,0.1359,0.213,14882,8483,10863035,94608,109490,23365,26.99,8.05,4.75,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.460,pipeline_soft,0.46,0.00,13,27,11,11,0.2240,0.2867,0.1261,0.6369,0.1359,0.213,14882,8483,10863035,94608,109490,23365,26.99,8.05,4.75,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.480,pipeline_soft,0.48,0.00,13,27,11,11,0.2240,0.2867,0.1261,0.6369,0.1359,0.213,14882,8483,10863035,94608,109490,23365,26.99,8.05,4.75,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.500,pipeline_soft,0.5,0.00,13,27,11,11,0.2240,0.2867,0.1261,0.6369,0.1359,0.213,14882,8483,10863035,94608,109490,23365,26.99,8.05,4.75,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.520,pipeline_soft,0.52,0.00,13,27,11,11,0.2240,0.2867,0.1261,0.6369,0.1359,0.213,14882,8483,10863035,94608,109490,23365,26.99,8.05,4.75,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.540,pipeline_soft,0.54,0.00,13,27,11,11,0.2240,0.2867,0.1261,0.6369,0.1359,0.213,14882,8483,10863035,94608,109490,23365,26.99,8.05,4.75,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.560,pipeline_soft,0.56,0.00,13,27,11,11,0.2240,0.2867,0.1261,0.6369,0.1359,0.213,14882,8483,10863035,94608,109490,23365,26.99,8.05,4.75,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.580,pipeline_soft,0.58,0.00,13,27,11,11,0.2240,0.2867,0.1261,0.6369,0.1359,0.213,14882,8483,10863035,94608,109490,23365,26.99,8.05,4.75,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.600,pipeline_soft,0.6,0.00,13,27,11,11,0.2240,0.2867,0.1261,0.6369,0.1359,0.213,14882,8483,10863035,94608,109490,23365,26.99,8.05,4.75,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.620,pipeline_soft,0.62,0.00,13,27,11,11,0.2240,0.2867,0.1261,0.6369,0.1359,0.213,14882,8483,10863035,94608,109490,23365,26.99,8.05,4.75,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.640,pipeline_soft,0.64,0.00,13,27,11,11,0.2240,0.2867,0.1261,0.6369,0.1359,0.213,14882,8483,10863035,94608,109490,23365,26.99,8.05,4.75,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.660,pipeline_soft,0.66,0.00,13,27,11,11,0.2240,0.2867,0.1261,0.6369,0.1359,0.213,14882,8483,10863035,94608,109490,23365,26.99,8.05,4.75,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.680,pipeline_soft,0.68,0.00,7,27,11,11,0.0477,0.0787,0.0244,0.5181,0.0250,0.048,2739,2548,10868970,106751,109490,5287,26.99,2.18,1.03,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.700,pipeline_soft,0.7,0.00,7,27,11,11,0.0477,0.0787,0.0244,0.5181,0.0250,0.048,2739,2548,10868970,106751,109490,5287,26.99,2.18,1.03,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.720,pipeline_soft,0.72,0.00,7,27,11,11,0.0477,0.0787,0.0244,0.5181,0.0250,0.048,2739,2548,10868970,106751,109490,5287,26.99,2.18,1.03,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.740,pipeline_soft,0.74,0.00,7,27,11,11,0.0477,0.0787,0.0244,0.5181,0.0250,0.048,2739,2548,10868970,106751,109490,5287,26.99,2.18,1.03,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.760,pipeline_soft,0.76,0.00,7,27,11,11,0.0477,0.0787,0.0244,0.5181,0.0250,0.048,2739,2548,10868970,106751,109490,5287,26.99,2.18,1.03,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.780,pipeline_soft,0.78,0.00,7,27,11,11,0.0477,0.0787,0.0244,0.5181,0.0250,0.048,2739,2548,10868970,106751,109490,5287,26.99,2.18,1.03,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.800,pipeline_soft,0.8,0.00,7,27,11,11,0.0477,0.0787,0.0244,0.5181,0.0250,0.048,2739,2548,10868970,106751,109490,5287,26.99,2.18,1.03,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.820,pipeline_soft,0.82,0.00,7,27,11,11,0.0477,0.0787,0.0244,0.5181,0.0250,0.048,2739,2548,10868970,106751,109490,5287,26.99,2.18,1.03,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.840,pipeline_soft,0.84,0.00,7,27,11,11,0.0477,0.0787,0.0244,0.5181,0.0250,0.048,2739,2548,10868970,106751,109490,5287,26.99,2.18,1.03,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.860,pipeline_soft,0.86,0.00,7,27,11,11,0.0477,0.0787,0.0244,0.5181,0.0250,0.048,2739,2548,10868970,106751,109490,5287,26.99,2.18,1.03,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.880,pipeline_soft,0.88,0.00,7,27,11,11,0.0477,0.0787,0.0244,0.5181,0.0250,0.048,2739,2548,10868970,106751,109490,5287,26.99,2.18,1.03,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.900,pipeline_soft,0.9,0.00,7,27,11,11,0.0477,0.0787,0.0244,0.5181,0.0250,0.048,2739,2548,10868970,106751,109490,5287,26.99,2.18,1.03,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.920,pipeline_soft,0.92,0.00,7,27,11,11,0.0477,0.0787,0.0244,0.5181,0.0250,0.048,2739,2548,10868970,106751,109490,5287,26.99,2.18,1.03,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.940,pipeline_soft,0.94,0.00,7,27,11,11,0.0477,0.0787,0.0244,0.5181,0.0250,0.048,2739,2548,10868970,106751,109490,5287,26.99,2.18,1.03,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.960,pipeline_soft,0.96,0.00,7,27,11,11,0.0477,0.0787,0.0244,0.5181,0.0250,0.048,2739,2548,10868970,106751,109490,5287,26.99,2.18,1.03,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_-2_std_-1_soft_0.980,pipeline_soft,0.98,0.01,7,27,11,11,0.0477,0.0787,0.0244,0.5181,0.0250,0.048,2739,2548,10868970,106751,109490,5287,26.99,2.18,1.03,vsize_-2_std_-1,2,2,4,0.01,3,2,200
vsize_+1_soft_0.000,pipeline_soft,0.0,0.00,25,27,11,11,0.3734,0.4209,0.2295,0.4964,0.2992,0.603,32762,33240,10838278,76728,109490,66002,26.99,16.24,8.54,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.020,pipeline_soft,0.02,0.00,25,27,11,11,0.3734,0.4209,0.2295,0.4964,0.2992,0.603,32762,33240,10838278,76728,109490,66002,26.99,16.24,8.54,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.040,pipeline_soft,0.04,0.00,25,27,11,11,0.3734,0.4209,0.2295,0.4964,0.2992,0.603,32762,33240,10838278,76728,109490,66002,26.99,16.24,8.54,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.060,pipeline_soft,0.06,0.00,25,27,11,11,0.3734,0.4209,0.2295,0.4964,0.2992,0.603,32762,33240,10838278,76728,109490,66002,26.99,16.24,8.54,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.080,pipeline_soft,0.08,0.00,25,27,11,11,0.3734,0.4209,0.2295,0.4964,0.2992,0.603,32762,33240,10838278,76728,109490,66002,26.99,16.24,8.54,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.100,pipeline_soft,0.1,0.00,25,27,11,11,0.3734,0.4209,0.2295,0.4964,0.2992,0.603,32762,33240,10838278,76728,109490,66002,26.99,16.24,8.54,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.120,pipeline_soft,0.12,0.00,25,27,11,11,0.3734,0.4209,0.2295,0.4964,0.2992,0.603,32762,33240,10838278,76728,109490,66002,26.99,16.24,8.54,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.140,pipeline_soft,0.14,0.00,25,27,11,11,0.3734,0.4209,0.2295,0.4964,0.2992,0.603,32762,33240,10838278,76728,109490,66002,26.99,16.24,8.54,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.160,pipeline_soft,0.16,0.00,25,27,11,11,0.3734,0.4209,0.2295,0.4964,0.2992,0.603,32762,33240,10838278,76728,109490,66002,26.99,16.24,8.54,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.180,pipeline_soft,0.18,0.00,25,27,11,11,0.3734,0.4209,0.2295,0.4964,0.2992,0.603,32762,33240,10838278,76728,109490,66002,26.99,16.24,8.54,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.200,pipeline_soft,0.2,0.00,25,27,11,11,0.3734,0.4209,0.2295,0.4964,0.2992,0.603,32762,33240,10838278,76728,109490,66002,26.99,16.24,8.54,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.220,pipeline_soft,0.22,0.00,25,27,11,11,0.3734,0.4209,0.2295,0.4964,0.2992,0.603,32762,33240,10838278,76728,109490,66002,26.99,16.24,8.54,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.240,pipeline_soft,0.24,0.00,25,27,11,11,0.3734,0.4209,0.2295,0.4964,0.2992,0.603,32762,33240,10838278,76728,109490,66002,26.99,16.24,8.54,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.260,pipeline_soft,0.26,0.00,25,27,11,11,0.3734,0.4209,0.2295,0.4964,0.2992,0.603,32762,33240,10838278,76728,109490,66002,26.99,16.24,8.54,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.280,pipeline_soft,0.28,0.00,25,27,11,11,0.3734,0.4209,0.2295,0.4964,0.2992,0.603,32762,33240,10838278,76728,109490,66002,26.99,16.24,8.54,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.300,pipeline_soft,0.3,0.00,25,27,11,11,0.3734,0.4209,0.2295,0.4964,0.2992,0.603,32762,33240,10838278,76728,109490,66002,26.99,16.24,8.54,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.320,pipeline_soft,0.32,0.00,25,27,11,11,0.3734,0.4209,0.2295,0.4964,0.2992,0.603,32762,33240,10838278,76728,109490,66002,26.99,16.24,8.54,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.340,pipeline_soft,0.34,0.00,21,27,11,11,0.3151,0.3334,0.1870,0.5708,0.2177,0.381,23831,17917,10853601,85659,109490,41748,26.99,10.49,5.78,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.360,pipeline_soft,0.36,0.00,21,27,11,11,0.3151,0.3334,0.1870,0.5708,0.2177,0.381,23831,17917,10853601,85659,109490,41748,26.99,10.49,5.78,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.380,pipeline_soft,0.38,0.00,21,27,11,11,0.3151,0.3334,0.1870,0.5708,0.2177,0.381,23831,17917,10853601,85659,109490,41748,26.99,10.49,5.78,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.400,pipeline_soft,0.4,0.00,21,27,11,11,0.3151,0.3334,0.1870,0.5708,0.2177,0.381,23831,17917,10853601,85659,109490,41748,26.99,10.49,5.78,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.420,pipeline_soft,0.42,0.00,21,27,11,11,0.3151,0.3334,0.1870,0.5708,0.2177,0.381,23831,17917,10853601,85659,109490,41748,26.99,10.49,5.78,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.440,pipeline_soft,0.44,0.00,21,27,11,11,0.3151,0.3334,0.1870,0.5708,0.2177,0.381,23831,17917,10853601,85659,109490,41748,26.99,10.49,5.78,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.460,pipeline_soft,0.46,0.00,21,27,11,11,0.3151,0.3334,0.1870,0.5708,0.2177,0.381,23831,17917,10853601,85659,109490,41748,26.99,10.49,5.78,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.480,pipeline_soft,0.48,0.00,21,27,11,11,0.3151,0.3334,0.1870,0.5708,0.2177,0.381,23831,17917,10853601,85659,109490,41748,26.99,10.49,5.78,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.500,pipeline_soft,0.5,0.00,21,27,11,11,0.3151,0.3334,0.1870,0.5708,0.2177,0.381,23831,17917,10853601,85659,109490,41748,26.99,10.49,5.78,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.520,pipeline_soft,0.52,0.00,21,27,11,11,0.3151,0.3334,0.1870,0.5708,0.2177,0.381,23831,17917,10853601,85659,109490,41748,26.99,10.49,5.78,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.540,pipeline_soft,0.54,0.00,21,27,11,11,0.3151,0.3334,0.1870,0.5708,0.2177,0.381,23831,17917,10853601,85659,109490,41748,26.99,10.49,5.78,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.560,pipeline_soft,0.56,0.00,21,27,11,11,0.3151,0.3334,0.1870,0.5708,0.2177,0.381,23831,17917,10853601,85659,109490,41748,26.99,10.49,5.78,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.580,pipeline_soft,0.58,0.00,21,27,11,11,0.3151,0.3334,0.1870,0.5708,0.2177,0.381,23831,17917,10853601,85659,109490,41748,26.99,10.49,5.78,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.600,pipeline_soft,0.6,0.00,21,27,11,11,0.3151,0.3334,0.1870,0.5708,0.2177,0.381,23831,17917,10853601,85659,109490,41748,26.99,10.49,5.78,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.620,pipeline_soft,0.62,0.00,21,27,11,11,0.3151,0.3334,0.1870,0.5708,0.2177,0.381,23831,17917,10853601,85659,109490,41748,26.99,10.49,5.78,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.640,pipeline_soft,0.64,0.00,21,27,11,11,0.3151,0.3334,0.1870,0.5708,0.2177,0.381,23831,17917,10853601,85659,109490,41748,26.99,10.49,5.78,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.660,pipeline_soft,0.66,0.00,21,27,11,11,0.3151,0.3334,0.1870,0.5708,0.2177,0.381,23831,17917,10853601,85659,109490,41748,26.99,10.49,5.78,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.680,pipeline_soft,0.68,0.00,17,27,11,11,0.2558,0.2750,0.1466,0.7062,0.1562,0.221,17097,7113,10864405,92393,109490,24210,26.99,5.93,4.18,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.700,pipeline_soft,0.7,0.00,17,27,11,11,0.2558,0.2750,0.1466,0.7062,0.1562,0.221,17097,7113,10864405,92393,109490,24210,26.99,5.93,4.18,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.720,pipeline_soft,0.72,0.00,17,27,11,11,0.2558,0.2750,0.1466,0.7062,0.1562,0.221,17097,7113,10864405,92393,109490,24210,26.99,5.93,4.18,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.740,pipeline_soft,0.74,0.00,17,27,11,11,0.2558,0.2750,0.1466,0.7062,0.1562,0.221,17097,7113,10864405,92393,109490,24210,26.99,5.93,4.18,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.760,pipeline_soft,0.76,0.00,17,27,11,11,0.2558,0.2750,0.1466,0.7062,0.1562,0.221,17097,7113,10864405,92393,109490,24210,26.99,5.93,4.18,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.780,pipeline_soft,0.78,0.00,17,27,11,11,0.2558,0.2750,0.1466,0.7062,0.1562,0.221,17097,7113,10864405,92393,109490,24210,26.99,5.93,4.18,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.800,pipeline_soft,0.8,0.00,17,27,11,11,0.2558,0.2750,0.1466,0.7062,0.1562,0.221,17097,7113,10864405,92393,109490,24210,26.99,5.93,4.18,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.820,pipeline_soft,0.82,0.00,17,27,11,11,0.2558,0.2750,0.1466,0.7062,0.1562,0.221,17097,7113,10864405,92393,109490,24210,26.99,5.93,4.18,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.840,pipeline_soft,0.84,0.00,17,27,11,11,0.2558,0.2750,0.1466,0.7062,0.1562,0.221,17097,7113,10864405,92393,109490,24210,26.99,5.93,4.18,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.860,pipeline_soft,0.86,0.00,17,27,11,11,0.2558,0.2750,0.1466,0.7062,0.1562,0.221,17097,7113,10864405,92393,109490,24210,26.99,5.93,4.18,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.880,pipeline_soft,0.88,0.00,17,27,11,11,0.2558,0.2750,0.1466,0.7062,0.1562,0.221,17097,7113,10864405,92393,109490,24210,26.99,5.93,4.18,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.900,pipeline_soft,0.9,0.00,17,27,11,11,0.2558,0.2750,0.1466,0.7062,0.1562,0.221,17097,7113,10864405,92393,109490,24210,26.99,5.93,4.18,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.920,pipeline_soft,0.92,0.00,17,27,11,11,0.2558,0.2750,0.1466,0.7062,0.1562,0.221,17097,7113,10864405,92393,109490,24210,26.99,5.93,4.18,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.940,pipeline_soft,0.94,0.00,17,27,11,11,0.2558,0.2750,0.1466,0.7062,0.1562,0.221,17097,7113,10864405,92393,109490,24210,26.99,5.93,4.18,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.960,pipeline_soft,0.96,0.00,17,27,11,11,0.2558,0.2750,0.1466,0.7062,0.1562,0.221,17097,7113,10864405,92393,109490,24210,26.99,5.93,4.18,vsize_+1,5,3,4,0.01,3,2,200
vsize_+1_soft_0.980,pipeline_soft,0.98,0.00,17,27,11,11,0.2558,0.2750,0.1466,0.7062,0.1562,0.221,17097,7113,10864405,92393,109490,24210,26.99,5.93,4.18,vsize_+1,5,3,4,0.01,3,2,200
vsize_+2_std_+1_soft_0.000,pipeline_soft,0.0,0.00,25,27,11,11,0.3845,0.4385,0.2380,0.4177,0.3561,0.852,38990,54348,10817170,70500,109490,93338,26.99,21.55,10.15,vsize_+2_std_+1,6,4,4,0.01,3,2,200
vsize_+2_std_+1_soft_0.020,pipeline_soft,0.02,0.00,25,27,11,11,0.3845,0.4385,0.2380,0.4177,0.3561,0.852,38990,54348,10817170,70500,109490,93338,26.99,21.55,10.15,vsize_+2_std_+1,6,4,4,0.01,3,2,200
vsize_+2_std_+1_soft_0.040,pipeline_soft,0.04,0.00,25,27,11,11,0.3845,0.4385,0.2380,0.4177,0.3561,0.852,38990,54348,10817170,70500,109490,93338,26.99,21.55,10.15,vsize_+2_std_+1,6,4,4,0.01,3,2,200
vsize_+2_std_+1_soft_0.060,pipeline_soft,0.06,0.00,25,27,11,11,0.3845,0.4385,0.2380,0.4177,0.3561,0.852,38990,54348,10817170,70500,109490,93338,26.99,21.55,10.15,vsize_+2_std_+1,6,4,4,0.01,3,2,200
vsize_+2_std_+1_soft_0.080,pipeline_soft,0.08,0.00,25,27,11,11,0.3845,0.4385,0.2380,0.4177,0.3561,0.852,38990,54348,10817170,70500,109490,93338,26.99,21.55,10.15,vsize_+2_std_+1,6,4,4,0.01,3,2,200
vsize_+2_std_+1_soft_0.100,pipeline_soft,0.1,0.00,25,27,11,11,0.3845,0.4385,0.2380,0.4177,0.3561,0.852,38990,54348,10817170,70500,109490,93338,26.99,21.55,10.15,vsize_+2_std_+1,6,4,4,0.01,3,2,200
vsize_+2_std_+1_soft_0.120,pipeline_soft,0.12,0.00,25,27,11,11,0.3845,0.4385,0.2380,0.4177,0.3561,0.852,38990,54348,10817170,70500,109490,93338,26.99,21.55,10.15,vsize_+2_std_+1,6,4,4,0.01,3,2,200
vsize_+2_std_+1_soft_0.140,pipeline_soft,0.14,0.00,25,27,11,11,0.3845,0.4385,0.2380,0.4177,0.3561,0.852,38990,54348,10817170,70500,109490,93338,26.99,21.55,10.15,vsize_+2_std_+1,6,4,4,0.01,3,2,200
vsize_+2_std_+1_soft_0.160,pipeline_soft,0.16,0.00,25,27,11,11,0.3845,0.4385,0.2380,0.4177,0.3561,0.852,38990,54348,10817170,70500,109490,93338,26.99,21.55,10.15,vsize_+2_std_+1,6,4,4,0.01,3,2,200
vsize_+2_std_+1_soft_0.180,pipeline_soft,0.18,0.00,25,27,11,11,0.3845,0.4385,0.2380,0.4177,0.3561,0.852,38990,54348,10817170,70500,109490,93338,26.99,21.55,10.15,vsize_+2_std_+1,6,4,4,0.01,3,2,200
vsize_+2_std_+1_soft_0.200,pipeline_soft,0.2,0.00,25,27,11,11,0.3845,0.4385,0.2380,0.4177,0.3561,0.852,38990,54348,10817170,70500,109490,93338,26.99,21.55,10.15,vsize_+2_std_+1,6,4,4,0.01,3,2,200
vsize_+2_std_+1_soft_0.220,pipeline_soft,0.22,0.00,25,27,11,11,0.3845,0.4385,0.2380,0.4177,0.3561,0.852,38990,54348,10817170,70500,109490,93338,26.99,21.55,10.15,vsize_+2_std_+1,6,4,4,0.01,3,2,200
vsize_+2_std_+1_soft_0.240,pipeline_soft,0.24,0.00,25,27,11,11,0.3845,0.4385,0.2380,0.4177,0.3561,0.852,38990,54348,10817170,70500,109490,93338,26.99,21.55,10.15,vsize_+2_std_+1,6,4,4,0.01,3,2,200
vsize_+2_std_+1_soft_0.260,pipeline_soft,0.26,0.00,25,27,11,11,0.3845,0.4385,0.2380,0.4177,0.3561,0.852,38990,54348,10817170,70500,109490,93338,26.99,21.55,10.15,vsize_+2_std_+1,6,4,4,0.01,3,2,200
vsize_+2_std_+1_soft_0.280,pipeline_soft,0.28,0.00,25,27,11,11,0.3845,0.4385,0.2380,0.4177,0.3561,0.852,38990,54348,10817170,70500,109490,93338,26.99,21.55,10.15,vsize_+2_std_+1,6,4,4,0.01,3,2,200
vsize_+2_std_+1_soft_0.300,pipeline_soft,0.3,0.00,25,27,11,11,0.3845,0.4385,0.2380,0.4177,0.3561,0.852,38990,54348,10817170,70500,109490,93338,26.99,21.55,10.15,vsize_+2_std_+1,6,4,4,0.01,3,2,200
vsize_+2_std_+1_soft_0.320,pipeline_soft,0.32,0.00,25,27,11,11,0.3845,0.4385,0.2380,0.4177,0.3561,0.852,38990,54348,10817170,70500,109490,93338,26.99,21.55,10.15,vsize_+2_std_+1,6,4,4,0.01,3,2,200
vsize_+2_std_+1_soft_0.340,pipeline_soft,0.34,0.00,19,27,11,11,0.3469,0.3713,0.2099,0.5222,0.2597,0.497,28439,26021,10845497,81051,109490,54460,26.99,13.08,6.84,vsize_+2_std_+1,6,4,4,0.01,3,2,200
vsize_+2_std_+1_soft_0.360,pipeline_soft,0.36,0.00,19,27,11,11,0.3469,0.3713,0.2099,0.5222,0.2597,0.497,28439,26021,10845497,81051,109490,54460,26.99,13.08,6.84,vsize_+2_std_+1,6,4,4,0.01,3,2,200
vsize_+2_std_+1_soft_0.380,pipeline_soft,0.38,0.00,19,27,11,11,0.3469,0.3713,0.2099,0.5222,0.2597,0.497,28439,26021,10845497,81051,109490,54460,26.99,13.08,6.84,vsize_+2_std_+1,6,4,4,0.01,3,2,200
vsize_+2_std_+1_soft_0.400,pipeline_soft,0.4,0.00,19,27,11,11,0.3469,0.3713,0.2099,0.5222,0.2597,0.497,28439,26021,10845497,81051,109490,54460,26.99,13.08,6.84,vsize_+2_std_+1,6,4,4,0.01,3,2,200
vsize_+2_std_+1_soft_0.420,pipeline_soft,0.42,0.00,19,27,11,11,0.3469,0.3713,0.2099,0.5222,0.2597,0.497,28439,26021,10845497,81051,109490,54460,26.99,13.08,6.84,vsize_+2_std_+1,6,4,4,0.01,3,2,200
